,accession,y_hmm,y_dp
2225,"CAA9440814.1 GH13_4 | GH13_16 | GH13 | GH13_36 | GH13_ 29 | GH13_31 | GH13_17 | GH13_40 | GH13_30 | GH13 _18 | GH13_23 | GH13_35 | GH13_2 | GH13_1, partial [uncultured Pseudonocardia sp.]",1,1
2226,WP_099542687.1 alpha amylase [Maribacter sp. 4G9],1,1
2227,WP_028488441.1 alpha-amylase [Thiothrix lacustris],1,1
2228,NDL66526.1 alpha-amylase [Clostridiales bacterium F-3ap],1,1
2229,WP_020167003.1 MULTISPECIES: hypothetical protein [Methylotenera],1,1
2230,WP_152131861.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda olearia],1,1
2231,PJE48158.1 alpha-amylase [Sediminibacterium sp.],1,1
2232,WP_020558907.1 alpha-amylase family protein [Thiofilum flexile],1,1
2233,MBK9100653.1 alpha-amylase family protein [Austwickia sp.],1,1
2234,WP_090159140.1 alpha-glucosidase C-terminal domain-containing protein [Loktanella sp. DSM 29012],1,1
2235,"NTW40190.1 alpha-amylase, partial [Cellulomonadaceae bacterium]",1,1
2236,MBD5106586.1 hypothetical protein HDT41_06370 [Lachnospiraceae bacterium],1,1
2237,WP_160874829.1 alpha-amylase [Nocardioides sp. YIM 123512],1,1
2238,WP_071798325.1 alpha-amylase [Natronohydrobacter thiooxidans],1,1
2239,WP_066981781.1 alpha-glucosidase C-terminal domain-containing protein [Methylomonas lenta],1,1
2240,NOX43053.1 alpha-amylase [Gammaproteobacteria bacterium],1,1
2241,WP_024850646.1 alpha-amylase [Hydrogenovibrio kuenenii],1,1
2242,WP_083658851.1 alpha-amylase family protein [Pseudonocardia autotrophica],1,1
2243,MBK8730188.1 alpha-amylase family protein [Tetrasphaera sp.],1,1
2244,PIW72228.1 alpha-amylase [Hydrogenophilales bacterium CG12_big_fil_rev_8_21_14_0_65_61_21],1,1
2245,MBI9010679.1 alpha-glucosidase C-terminal domain-containing protein [Clostridiales bacterium],1,1
2246,NNC61753.1 alpha amylase [Eudoraea sp.],1,1
2247,MBA3417573.1 alpha-amylase [Geodermatophilaceae bacterium],1,1
2248,WP_178372931.1 alpha-amylase [Pseudonocardia sp. ICBG1122],1,1
2249,MBK6873369.1 alpha-amylase family protein [Kineosporiaceae bacterium],1,1
2250,WP_133688513.1 cyclomaltodextrinase C-terminal domain-containing protein [Maribacter spongiicola],1,1
2251,MBI1220230.1 alpha-amylase [Rhodobacteraceae bacterium],1,1
2252,WP_013762724.1 alpha-glucosidase C-terminal domain-containing protein [Haliscomenobacter hydrossis],1,1
2253,TQJ50799.1 amylosucrase [Phycicoccus sp. SLBN-51],1,1
2254,WP_078363925.1 alpha-amylase [Rhodoferax fermentans],1,1
2255,WP_179383103.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda sp. ARW1Y1],1,1
2256,PWJ52695.1 amylosucrase [Quadrisphaera granulorum],1,1
2257,WP_055829551.1 MULTISPECIES: alpha-amylase family protein [unclassified Methylophilus],1,1
2258,WP_067776450.1 alpha-glucosidase C-terminal domain-containing protein [Nostoc sp. NIES-3756],1,1
2259,WP_036380595.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda sp. MAR_2010_75],1,1
2260,ODB99769.1 alpha-amylase [Candidatus Thiodiazotropha endoloripes],1,1
2261,WP_133642970.1 alpha amylase [Zeaxanthinibacter enoshimensis],1,1
2262,WP_184030183.1 alpha-amylase family protein [Deinococcus budaensis],1,1
2263,PKM49635.1 alpha-amylase [Firmicutes bacterium HGW-Firmicutes-7],1,1
2264,WP_064038021.1 alpha-amylase [Methylomonas methanica],1,1
2265,WP_123378490.1 alpha-amylase [Pseudokineococcus lusitanus],1,1
2266,WP_066118287.1 alpha-amylase [Geminocystis sp. NIES-3709],1,1
2267,WP_019488583.1 alpha-glucosidase C-terminal domain-containing protein [Calothrix sp. PCC 7103],1,1
2268,WP_154552639.1 alpha-glucosidase C-terminal domain-containing protein [Halorhabdus sp. CBA1104],1,1
2269,WP_055871020.1 alpha-amylase family protein [Methylophilus sp. Leaf414],1,1
2270,WP_009198395.1 alpha-amylase family protein [Peptidiphaga gingivicola],1,1
2271,WP_071156972.1 alpha-amylase [Methylomonas sp. LWB],1,1
2272,WP_103332731.1 alpha-amylase [Tabrizicola sp. XJSP],1,1
2273,OYU41240.1 alpha-amylase [Pseudorhodobacter sp. PARRP1],1,1
2274,WP_179762998.1 alpha-amylase [Pseudonocardia antarctica],1,1
2275,WP_064041610.1 alpha-glucosidase C-terminal domain-containing protein [Methylomonas koyamae],1,1
2276,WP_105187384.1 alpha-amylase [Micropruina glycogenica],1,1
2277,NNL38752.1 alpha amylase [Flavobacteriaceae bacterium],1,1
2278,WP_012692553.1 alpha-amylase family protein [Deinococcus deserti],1,1
2279,MAU17749.1 alpha amylase [Muricauda sp.],1,1
2280,WP_076546517.1 alpha amylase [Maribacter ulvicola],1,1
2281,WP_115624004.1 hypothetical protein [Blautia coccoides],1,1
2282,OJG05807.1 Amylosucrase [Pseudonocardia autotrophica],1,1
2283,WP_158855491.1 alpha-glucosidase C-terminal domain-containing protein [Halorhabdus sp. CUG00001],1,1
2284,SPD85207.1 Amylosucrase [Micropruina glycogenica],1,1
2285,NHF58859.1 alpha amylase [Flavobacteriaceae bacterium TP-CH-4],1,1
2286,WP_109837884.1 alpha-amylase [Leucothrix pacifica],1,1
2287,WP_198409856.1 alpha-amylase [Microlunatus flavus],1,1
2288,WP_146049399.1 alpha-amylase [Alkalispirochaeta sphaeroplastigenens],1,1
2289,WP_045801574.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda lutaonensis],1,1
2290,MBA4259092.1 alpha-amylase [Chitinophaga sp.],1,1
2291,WP_066099780.1 alpha-glucosidase C-terminal domain-containing protein [Halothiobacillus sp. LS2],1,1
2292,MBC7309185.1 alpha-amylase [Tetrasphaera sp.],1,1
2293,MAU26640.1 alpha amylase [Muricauda sp.],1,1
2294,TVQ08631.1 amylosucrase [Balneolaceae bacterium],1,1
2295,NCA87380.1 alpha-amylase [Gammaproteobacteria bacterium],1,1
2296,NUQ32665.1 alpha-amylase [Dermatophilaceae bacterium],1,1
2297,WP_197680554.1 alpha-amylase [Microlunatus sagamiharensis],1,1
2298,WP_198949914.1 alpha-amylase family protein [Kineosporia sp. A_224],1,1
2299,NUO35495.1 alpha-amylase [Dermatophilaceae bacterium],1,1
2300,NUO90840.1 alpha-amylase [Dermatophilaceae bacterium],1,1
2301,NNK35642.1 alpha amylase [Eudoraea sp.],1,1
2302,NYG03235.1 amylosucrase [Pseudonocardia antarctica],1,1
2303,NUR82390.1 alpha-amylase [Dermatophilaceae bacterium],1,1
2304,WP_033157038.1 alpha-glucosidase C-terminal domain-containing protein [Methylomonas sp. LW13],1,1
2305,WP_114672786.1 alpha-amylase family protein [Deinococcus wulumuqiensis],1,1
2306,WP_088108779.1 hypothetical protein [Tyzzerella sp. An114],1,1
2307,WP_118838751.1 alpha-glucosidase C-terminal domain-containing protein [Salinibacter ruber],1,1
2308,WP_190810172.1 alpha-glucosidase C-terminal domain-containing protein [Flagellimonas sp. S3867],1,1
2309,"MBF0470917.1 alpha-amylase family protein, partial [Gammaproteobacteria bacterium]",1,1
2310,WP_166171897.1 alpha-amylase [Motilibacter aurantiacus],1,1
2311,WP_118154185.1 DUF3459 domain-containing protein [Tabrizicola sp. DJC],1,1
2312,WP_121193679.1 alpha-amylase family protein [Motilibacter peucedani],1,1
2313,WP_018526114.1 hypothetical protein [Alkalispirochaeta alkalica],1,1
2314,PJA32849.1 alpha-amylase [Zetaproteobacteria bacterium CG_4_9_14_3_um_filter_53_7],1,1
2315,WP_173292190.1 alpha-amylase [Thiosulfativibrio zosterae],1,1
2316,WP_166249527.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda sp. 501str8],1,1
2317,WP_023495116.1 alpha-glucosidase C-terminal domain-containing protein [Methyloglobulus morosus],1,1
2318,POR03582.1 hypothetical protein AU468_04875 [Alkalispirochaeta sphaeroplastigenens],1,1
2319,MBE6483694.1 alpha-amylase [Actinomycetaceae bacterium],1,1
2320,RKS73878.1 amylosucrase [Motilibacter peucedani],1,1
2321,WP_100880713.1 alpha-amylase family protein [Pseudonocardia alni],1,1
2322,NQZ44768.1 DUF3459 domain-containing protein [Flavobacteriaceae bacterium],1,1
2323,WP_116216491.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda sp. ARW7G5W],1,1
2324,"NUR08415.1 alpha-amylase, partial [Nocardioidaceae bacterium]",1,1
2325,WP_062057238.1 alpha-amylase family protein [Sediminicola sp. YIK13],1,1
2326,NLW98793.1 alpha-amylase [Actinomycetales bacterium],1,1
2327,WP_163420564.1 alpha amylase [Flagellimonas sp. CMM7],1,1
2328,WP_187036980.1 alpha-amylase family protein [Dermacoccus sp. PAMC28757],1,1
2329,WP_052462311.1 hypothetical protein [Nigerium massiliense],1,1
2330,WP_170981452.1 alpha-amylase [Nocardioides dongxiaopingii],1,1
2331,KQV67904.1 alpha-amylase [Nocardioides sp. Root122],1,1
2332,QEE36054.1 DUF3459 domain-containing protein [Octadecabacter sp. SW4],1,1
2333,WP_110234210.1 alpha-amylase family protein [Aurantimicrobium sp. MWH-Mo1],1,1
2334,NNK20198.1 alpha amylase [Flavobacteriaceae bacterium],1,1
2335,"PTT88909.1 amylosucrase, partial [Pseudomonas sp. HMWF031]",1,1
2336,WP_119640592.1 alpha amylase [Muricauda sp. NH166],1,1
2337,WP_141845468.1 alpha-amylase [Humibacillus xanthopallidus],1,1
2338,WP_154592772.1 alpha-amylase [Arsenicicoccus sp. MKL-02],1,1
2339,OIP82426.1 alpha-amylase [Rhodobacterales bacterium CG2_30_65_12],1,1
2340,PKB31229.1 amylosucrase [Pseudonocardia alni],1,1
2341,WP_111299512.1 alpha-amylase [Paracoccus saliphilus],1,1
2342,WP_048700490.1 alpha-amylase family protein [Tetrasphaera australiensis],1,1
2343,NBH14667.1 hypothetical protein D3Z36_10915 [Lachnospiraceae bacterium],1,1
2344,OIQ00461.1 alpha-amylase [Zetaproteobacteria bacterium CG2_30_46_52],1,1
2345,WP_179519560.1 alpha-amylase [Nocardioides perillae],1,1
2346,NYG55906.1 amylosucrase [Nocardioides perillae],1,1
2347,HAI84819.1 TPA: alpha-amylase [Chitinophagaceae bacterium],1,1
2348,WP_179241803.1 alpha amylase [Costertonia aggregata],1,1
2349,WP_113038249.1 alpha-amylase [Nitrosomonas sp. Nm143],1,1
2350,WP_045981561.1 alpha-glucosidase C-terminal domain-containing protein [Paracoccus sp. S4493],1,1
2351,MBL0353712.1 DUF3459 domain-containing protein [Dechloromonas sp.],1,1
2352,RKX78813.1 alpha-amylase [Spirochaetes bacterium],1,1
2353,NNJ68607.1 alpha-amylase [Boseongicola sp.],1,1
2354,WP_192375222.1 alpha-glucosidase C-terminal domain-containing protein [Methylomonas sp. EbA],1,1
2355,WP_037282632.1 alpha-amylase [Rubellimicrobium mesophilum],1,1
2356,WP_019895579.1 alpha-amylase family protein [Hydrogenovibrio halophilus],1,1
2357,NDP47263.1 alpha-amylase [Sulfuriferula multivorans],1,1
2358,WP_094584077.1 alpha-amylase [Synechococcus sp. BO 8801],1,1
2359,WP_014702873.1 alpha-amylase [Methylophaga frappieri],1,1
2360,WP_064031674.1 alpha-amylase [Methylomonas koyamae],1,1
2361,WP_163632132.1 alpha amylase [Muricauda sp. 40Bstr401],1,1
2362,OYY99438.1 hypothetical protein B7Y37_14125 [Sphingobacteriia bacterium 28-36-52],1,1
2363,MBK9725995.1 alpha-amylase family protein [Actinomycetales bacterium],1,1
2364,WP_138759151.1 alpha-amylase [Modestobacter altitudinis],1,1
2365,TXI44814.1 alpha-amylase [Methylophilus sp.],1,1
2366,"MSZ42328.1 alpha-amylase, partial [Actinobacteria bacterium]",1,1
2367,AUD65847.1 alpha-amylase [Tenericutes bacterium MZ-XQ],1,1
2368,MBK8458851.1 alpha-amylase family protein [Micropruina sp.],1,1
2369,"CCH71607.1 Alpha amylase, catalytic region [Tetrasphaera australiensis Ben110]",1,1
2370,MBE7725676.1 hypothetical protein E7244_15055 [Enterocloster citroniae],1,1
2371,MBK8732180.1 alpha-amylase [Actinomycetales bacterium],1,1
2372,NJA06427.1 alpha-amylase [Methylococcaceae bacterium WWC4],1,1
2373,QCX02074.1 alpha amylase [Flavobacteriaceae bacterium F202Z8],1,1
2374,WP_139077171.1 alpha-amylase [Rubellimicrobium rubrum],1,1
2375,MBH8554230.1 alpha-glucosidase C-terminal domain-containing protein [Nostocaceae cyanobacterium CENA357],1,1
2376,WP_138564629.1 alpha-glucosidase C-terminal domain-containing protein [Thiomicrorhabdus sediminis],1,1
2377,WP_137109638.1 alpha-amylase family protein [Rhodobacter sp. SY28-1],1,1
2378,MBA3908550.1 alpha-amylase [Rhodobacter sp.],1,1
2379,WP_172261898.1 alpha-amylase [Nocardioides sp. zg-1230],1,1
2380,OYY45048.1 alpha-amylase [Gallionellales bacterium 35-53-114],1,1
2381,QLQ20440.1 alpha-amylase [Exiguobacterium profundum],1,1
2382,"MBA3529433.1 alpha-amylase, partial [Propionibacteriaceae bacterium]",1,1
2383,SPS05648.1 Amylosucrase [Candidatus Nitrotoga fabula],1,1
2384,WP_027065715.1 alpha-glucosidase C-terminal domain-containing protein [Maribacter sp. Hel_I_7],1,1
2385,WP_191154184.1 alpha-amylase [Pelobacter sp. M08fum],1,1
2386,NBZ88580.1 alpha-amylase [Rhodobacteraceae bacterium CYK-10],1,1
2387,WP_130614805.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda sp. 176CP4-71],1,1
2388,WP_015831204.1 alpha-amylase family protein [Methylovorus glucosotrophus],1,1
2389,WP_015904285.1 alpha-glucosidase C-terminal domain-containing protein [Desulfobacterium autotrophicum],1,1
2390,"HAF77834.1 TPA: alpha amylase, partial [Maribacter sp.]",1,1
2391,WP_021692744.1 alpha-amylase family protein [Limimaricola cinnabarinus],1,1
2392,WP_101052147.1 alpha-glucosidase C-terminal domain-containing protein [Methylomonas sp. Kb3],1,1
2393,WP_107764368.1 alpha-amylase family protein [Nocardioides terrigena],1,1
2394,WP_136854875.1 alpha-glucosidase C-terminal domain-containing protein [Paracoccus hibiscisoli],1,1
2395,WP_027876339.1 alpha-amylase family protein [Meiothermus cerbereus],1,1
2396,WP_015070107.1 alpha-amylase family protein [Acidipropionibacterium acidipropionici],1,1
2397,PIE27783.1 alpha-amylase [Micrococcales bacterium],1,1
2398,WP_115923869.1 alpha-amylase family protein [Calidifontibacter indicus],1,1
2399,"MTM67494.1 alpha-amylase, partial [Turicibacter sanguinis]",1,1
2400,HAX71991.1 TPA: alpha-amylase [Firmicutes bacterium],1,1
2401,MBH8572285.1 alpha-amylase [Nostocaceae cyanobacterium CENA369],1,1
2402,WP_108245761.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda sp. K001],1,1
2403,PKO54074.1 alpha-amylase [Betaproteobacteria bacterium HGW-Betaproteobacteria-2],1,1
2404,"NTV87541.1 amylosucrase, partial [Burkholderiaceae bacterium]",1,1
2405,"MTM43186.1 alpha-amylase, partial [Turicibacter sanguinis]",1,1
2406,WP_051750411.1 alpha-amylase [Phycicoccus jejuensis],1,1
2407,WP_119386418.1 alpha-amylase family protein [Nakamurella silvestris],1,1
2408,WP_054008347.1 alpha-amylase [Pseudorhodobacter psychrotolerans],1,1
2409,WP_013443468.1 alpha-amylase family protein [Methylovorus sp. MP688],1,1
2410,WP_136689778.1 alpha-glucosidase C-terminal domain-containing protein [Halorhabdus sp. H27],1,1
2411,NBO20877.1 DUF3459 domain-containing protein [Rhodobacteraceae bacterium],1,1
2412,KAF0174607.1 amylosucrase [Rhodobacteraceae bacterium],1,1
2413,WP_172623932.1 DUF3459 domain-containing protein [Octadecabacter sp. SW4],1,1
2414,NVK49640.1 alpha-amylase [Cyclobacteriaceae bacterium],1,1
2415,WP_194742808.1 alpha-amylase family protein [Methylophilus sp. 14],1,1
2416,OHC57621.1 alpha-amylase [Rhodobacterales bacterium RIFCSPHIGHO2_12_FULL_62_75],1,1
2417,HDZ05343.1 TPA: alpha amylase [Maribacter sp.],1,1
2418,WP_130865152.1 alpha-amylase family protein [Acidipropionibacterium timonense],1,1
2419,WP_092692245.1 DUF3459 domain-containing protein [Roseivivax roseus],1,1
2420,WP_036157377.1 alpha-amylase [Maribacter forsetii],1,1
2421,"ABL80781.1 alpha amylase, catalytic region [Nocardioides sp. JS614]",1,1
2422,WP_049774267.1 MULTISPECIES: alpha-amylase family protein [unclassified Nocardioides],1,1
2423,WP_129427392.1 alpha-amylase family protein [Nocardioides sp. HLT2-9],1,1
2424,PVV10472.1 alpha-amylase [gamma proteobacterium symbiont of Ctena orbiculata],1,1
2425,WP_190612368.1 alpha-amylase [Synechococcus sp. FACHB-909],1,1
2426,NCC75866.1 hypothetical protein EOM08_05470 [Clostridia bacterium],1,1
2427,NJN76059.1 alpha-amylase [Synechococcaceae cyanobacterium RL_1_2],1,1
2428,WP_118914957.1 alpha-amylase family protein [Dermacoccus abyssi],1,1
2429,WP_108716277.1 MULTISPECIES: alpha-amylase family protein [unclassified Actinobaculum],1,1
2430,MBI4940604.1 alpha-amylase family protein [Actinobacteria bacterium],1,1
2431,WP_093975142.1 alpha-amylase family protein [Boseongicola aestuarii],1,1
2432,WP_091471206.1 alpha-amylase family protein [Methylophilus rhizosphaerae],1,1
2433,WP_165046632.1 DUF3459 domain-containing protein [Rhodobacter sp. HX-7-19],1,1
2434,MBI4932837.1 alpha-amylase family protein [Actinobacteria bacterium],1,1
2435,WP_166119030.1 alpha-amylase [Phycicoccus sp. HDW14],1,1
2436,QCW52402.1 alpha-amylase [Nocardioides sp. S-1144],1,1
2437,MBK9475596.1 alpha-amylase family protein [Tetrasphaera sp.],1,1
2438,WP_075585123.1 alpha-glucosidase C-terminal domain-containing protein [Rhodoferax antarcticus],1,1
2439,WP_017294629.1 alpha-amylase [Geminocystis herdmanii],1,1
2440,NMD37698.1 amylosucrase [Christensenellaceae bacterium],1,1
2441,WP_187366821.1 alpha-amylase family protein [Nocardioides sp. S-1144],1,1
2442,WP_094996977.1 alpha-glucosidase C-terminal domain-containing protein [Maribacter cobaltidurans],1,1
2443,NJM30821.1 alpha-amylase [Rhizobiales bacterium],1,1
2444,WP_162084825.1 alpha-amylase [Sulfuriferula nivalis],1,1
2445,WP_148911156.1 alpha-glucosidase C-terminal domain-containing protein [Pseudomonas stutzeri],1,1
2446,"NOT06466.1 amylosucrase, partial [Anaerolineales bacterium]",1,1
2447,WP_147127089.1 alpha-amylase [Shimia sp. WX04],1,1
2448,WP_104934655.1 alpha-amylase [Methylophaga nitratireducenticrescens],1,1
2449,KRE61627.1 alpha-amylase [Tetrasphaera sp. Soil756],1,1
2450,WP_006173186.1 alpha-amylase [Synechococcus sp. WH 5701],1,1
2451,WP_125222013.1 alpha amylase [Maribacter algicola],1,1
2452,WP_129665994.1 alpha-amylase family protein [Dermacoccus sp. 147Ba],1,1
2453,WP_067544233.1 alpha-glucosidase C-terminal domain-containing protein [Algoriphagus sanaruensis],1,1
2454,WP_189411485.1 alpha-amylase family protein [Gemmobacter tilapiae],1,1
2455,"OGO58154.1 alpha-amylase, partial [Chloroflexi bacterium RBG_16_69_14]",1,1
2456,WP_127897662.1 MULTISPECIES: alpha-glucosidase C-terminal domain-containing protein [Paracoccus],1,1
2457,WP_127136328.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda sp. 40DY170],1,1
2458,NTW96121.1 alpha-amylase [Erysipelotrichaceae bacterium],1,1
2459,PKK93325.1 alpha-amylase [Tenericutes bacterium HGW-Tenericutes-6],1,1
2460,WP_094512259.1 alpha-amylase [Synechococcus sp. MW101C3],1,1
2461,PZV21812.1 alpha-amylase [Cyanobium sp.],1,1
2462,MBJ7901184.1 alpha-amylase [Cyanobacteria bacterium RI_101],1,1
2463,WP_147742257.1 alpha amylase [Flagellimonas sp. 176CP5-101],1,1
2464,WP_076489147.1 hypothetical protein [Alkalispirochaeta americana],1,1
2465,WP_108500659.1 alpha-amylase [Paracoccus indicus],1,1
2466,WP_130295132.1 alpha-amylase [Pseudonocardia sediminis],1,1
2467,WP_082589422.1 alpha-amylase family protein [Tetrasphaera sp. Soil756],1,1
2468,WP_161766096.1 alpha-glucosidase C-terminal domain-containing protein [Rhodobacter sp. CCP-1],1,1
2469,WP_080461720.1 MULTISPECIES: alpha-amylase family protein [Actinomyces],1,1
2470,WP_108894923.1 alpha-amylase family protein [Palleronia abyssalis],1,1
2471,RPG28671.1 alpha amylase [Muricauda sp. TMED12],1,1
2472,WP_103257268.1 alpha-amylase [Tabrizicola aquatica],1,1
2473,WP_140003822.1 alpha-amylase [Methylophilus medardicus],1,1
2474,OPL08867.1 alpha-amylase [delta proteobacterium ML8_F1],1,1
2475,GAK32154.1 amylosucrase [alpha proteobacterium Q-1],0,1
2476,PKO52816.1 alpha-amylase [Betaproteobacteria bacterium HGW-Betaproteobacteria-20],1,1
2477,PKO92226.1 alpha-amylase [Betaproteobacteria bacterium HGW-Betaproteobacteria-1],1,1
2478,WP_149587399.1 alpha-amylase [Rhodobacter flagellatus],1,1
2479,WP_108483119.1 alpha-amylase [Oceaniglobus sp. YLY08],1,1
2480,RZT88743.1 amylosucrase [Pseudonocardia sediminis],1,1
2481,WP_015775078.1 alpha-amylase [Desulfomicrobium baculatum],1,1
2482,MTB27672.1 alpha-amylase [Actinobacteria bacterium],1,1
2483,WP_180132322.1 alpha-amylase [Rhodoferax sp. BLA1],1,1
2484,MBK8771407.1 alpha-amylase [Rhizobiales bacterium],1,1
2485,WP_133391847.1 alpha-glucosidase C-terminal domain-containing protein [Algoriphagus aquimaris],1,1
2486,WP_100627432.1 alpha-glucosidase C-terminal domain-containing protein [Algoriphagus formosus],1,1
2487,MBL7806560.1 amylosucrase [Saprospiraceae bacterium],1,1
2488,OYZ58298.1 alpha-amylase [Hydrogenophilales bacterium 16-61-112],1,1
2489,KJK13475.1 alpha-amylase [Terrabacter sp. 28],1,1
2490,WP_009481370.1 alpha-amylase [Mobilicoccus pelagius],1,1
2491,AKT52637.1 hypothetical protein ADJ73_06710 [Arsenicicoccus sp. oral taxon 190],1,1
2492,MBB3325434.1 amylosucrase [Friedmanniella antarctica],1,1
2493,WP_004033958.1 alpha-amylase family protein [Clostridium sp. MD294],1,1
2494,MBI1284521.1 alpha-amylase [Thiobacillus sp.],1,1
2495,NND90148.1 alpha-amylase [Granulosicoccus sp.],1,1
2496,WP_185464299.1 MULTISPECIES: alpha-amylase [unclassified Synechococcus],1,1
2497,WP_152179416.1 alpha-amylase [Tetrasphaera sp. F2B08],1,1
2498,HHU38024.1 TPA: alpha-amylase [Propionibacterium sp.],1,1
2499,WP_047540792.1 alpha-amylase [Methylotenera versatilis],1,1
2500,WP_198423524.1 alpha-amylase [Microlunatus antarcticus],1,1
2501,MBK9739728.1 alpha-amylase family protein [Actinobacteria bacterium],1,1
2502,WP_129764188.1 alpha-amylase [Salipiger sp. IMCC34102],1,1
2503,WP_156188147.1 alpha-amylase [Arsenicicoccus sp. oral taxon 190],1,1
2504,"MBD3822631.1 alpha-glucosidase C-terminal domain-containing protein, partial [Thiotrichales bacterium]",1,1
2505,WP_106143680.1 alpha-glucosidase C-terminal domain-containing protein [Muricauda pacifica],1,1
2506,WP_139597842.1 alpha-glucosidase C-terminal domain-containing protein [Paracoccus haeundaensis],1,1
2507,MBD5097817.1 hypothetical protein HDT40_12660 [Lachnospiraceae bacterium],1,1
2508,WP_138256810.1 alpha-glucosidase C-terminal domain-containing protein [Maribacter aurantiacus],1,1
2509,HAX73164.1 TPA: alpha-amylase [Firmicutes bacterium],1,1
2510,MBK7610808.1 alpha-amylase family protein [Actinomycetales bacterium],1,1
2511,WP_150415749.1 alpha-glucosidase C-terminal domain-containing protein [Ginsengibacter hankyongi],1,1
2512,MBA8804408.1 amylosucrase [Nocardioides ginsengisegetis],1,1
2513,WP_182539917.1 alpha-amylase family protein [Nocardioides ginsengisegetis],1,1
2514,NEK57163.1 alpha-amylase [Geodermatophilus sabuli],1,1
2515,WP_154917873.1 alpha-glucosidase C-terminal domain-containing protein [Maribacter flavus],1,1
2516,WP_119950846.1 alpha-amylase family protein [Vallicoccus soli],1,1
2517,WP_112377804.1 alpha-glucosidase C-terminal domain-containing protein [Flagellimonas maritima],1,1
2518,WP_040657859.1 alpha-amylase family protein [Ornithinimicrobium pekingense],1,1
2519,WP_138316279.1 alpha-amylase family protein [Rhodoluna limnophila],1,1
2520,WP_091901234.1 alpha-glucosidase C-terminal domain-containing protein [Maribacter stanieri],1,1
2521,WP_070191199.1 alpha-amylase family protein [Humibacillus sp. DSM 29435],1,1
2522,WP_201939658.1 alpha-amylase family protein [Nocardioides sp. G10],1,1
2523,WP_161881682.1 alpha-amylase [Deinococcus alpinitundrae],1,1
2524,WP_138275290.1 alpha-amylase family protein [Rhodoluna limnophila],1,1
2525,WP_017177933.1 alpha-amylase family protein [Actinomyces timonensis],1,1
2526,PIV89236.1 alpha-amylase [Hydrogenophilales bacterium CG17_big_fil_post_rev_8_21_14_2_50_63_12],1,1
2527,MBI1171532.1 alpha-amylase [bacterium],1,1
2528,MBK6442776.1 alpha-amylase family protein [Actinomycetales bacterium],1,1
2529,WP_138315460.1 alpha-amylase family protein [Rhodoluna limnophila],1,1
2530,WP_201930962.1 alpha-amylase family protein [Lysobacter sp. MMG2],1,1
2531,MBA4324237.1 alpha-amylase [Rhodobacter sp.],1,1
2532,WP_082600270.1 alpha-amylase family protein [Nocardioides sp. Soil777],1,1
2533,WP_109667941.1 alpha-glucosidase C-terminal domain-containing protein [Roseicyclus mahoneyensis],1,1
2534,WP_142835467.1 alpha-amylase [Paenimaribius caenipelagi],1,1
2535,PWK60604.1 amylosucrase [Roseicyclus mahoneyensis],1,1
2536,WP_028577753.1 alpha-amylase [Desulfomicrobium escambiense],1,1
2537,KLO64060.1 alpha-amylase [Dermacoccus sp. PE3],1,1
2538,WP_049638923.1 alpha-amylase [Methylophilus sp. TWE2],1,1
2539,NND75397.1 alpha-amylase [Ilumatobacter sp.],1,1
2540,WP_194886089.1 alpha-glucosidase C-terminal domain-containing protein [Paracoccus sp. NBH48],1,1
2541,MBD0352064.1 alpha-amylase [Flavisolibacter sp.],1,1
2542,OGT04034.1 alpha-amylase [Gallionellales bacterium RIFCSPLOWO2_02_58_13],1,1
2543,MBA2509542.1 alpha-amylase [Nocardioidaceae bacterium],1,1
2544,WP_156170185.1 alpha-amylase [Dermacoccus sp. PE3],1,1
2545,WP_192140339.1 alpha-amylase family protein [Nocardioides sp. MJB4],1,1
2546,WP_008027609.1 alpha-amylase family protein [Rhodobacter sp. SW2],1,1
2547,ODT57841.1 alpha-amylase [Paracoccus sp. SCN 68-21],1,1
2548,WP_204331463.1 alpha-amylase family protein [Geodermatophilus sabuli],1,1
2549,WP_109660504.1 alpha-glucosidase C-terminal domain-containing protein [Flagellimonas aquimarina],1,1
2550,WP_181686013.1 amylosucrase [Halorhabdus sp. FL145],1,1
2551,WP_197211607.1 alpha-amylase family protein [Synechococcus sp. CBW1004],1,1
2552,"WP_057955136.1 alpha-amylase family protein, partial [endosymbiont of Ridgeia piscesae]",1,1
2553,MBK6300117.1 alpha-amylase family protein [Actinomycetales bacterium],1,1
2554,WP_119884823.1 alpha-glucosidase C-terminal domain-containing protein [Paracoccus aestuarii],1,1
2555,OIO71661.1 alpha-amylase [Zetaproteobacteria bacterium CG1_02_53_45],1,1
2556,GGK56546.1 alpha-amlyase [Ornithinimicrobium pekingense],1,1
2557,WP_176619187.1 alpha amylase [Muricauda sp. HICW],1,1
2558,WP_046000658.1 alpha-glucosidase C-terminal domain-containing protein [Paracoccus sp. 228],1,1
